PropName,Borough,System,Type of Water Feature
Rockaway Beach,Q,Q050-DF0987,Drinking Fountain
Forest Park,Q,Q015-DF0917,Drinking Fountain
Ocean Breeze Park,R,R149-DF0234,Drinking Fountain
Prospect Park,B,B073-DF0307,Drinking Fountain
Williamsbridge Square,X,X095-DF0559,Drinking Fountain
Riverside Park,M,M071-DF0024,Drinking Fountain
Watson Gleason Playground,X,X124-DF0168,Drinking Fountain
Pelham Bay Park,X,X039-DF0092,Drinking Fountain
Harris Park,X,X136-DF0157,Drinking Fountain
Alley Pond Park,Q,Q001-DF0665,Drinking Fountain
Kissena Corridor Park,Q,Q300A-DF0719,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0129,Drinking Fountain
Central Park,M,M010-DF1106,Drinking Fountain
Reiff Playground,Q,Q423-DF0182,Drinking Fountain
Alley Pond Park,Q,Q001-DF0810,Drinking Fountain
Willets Point Playground,Q,Q375-DF0532,Drinking Fountain
CPL. Thompson Park,R,R109-DF0260,Drinking Fountain
Prall Playground,R,R105-DF0127,Drinking Fountain
Stockton Playground,B,B298-DF1149,Drinking Fountain
Soundview Park,X,X118-DF0418,Drinking Fountain
Broad Channel Park,Q,Q460-DF0183,Drinking Fountain
Detective Keith L Williams Park,Q,Q121-DF0483,Drinking Fountain
Rockaway Beach,Q,Q050-DF0430,Drinking Fountain
Willowbrook Parkway,R,R047-DF0222,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0956,Drinking Fountain
Potomac Playground,B,B262-DF0427,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0131,Drinking Fountain
Bowne Playground,Q,Q308-DF0871,Drinking Fountain
Wakefield Playground,X,X188-DF0003,Drinking Fountain
Jennifer's Playground,R,R114-DF0114,Drinking Fountain
Roy Wilkins Recreation Center,Q,Q448-DF0779,Drinking Fountain
Louis Armstrong Playground,Q,Q415-DF0161,Drinking Fountain
Claremont Park,X,X008-DF0546,Drinking Fountain
Tappen Park,R,R028-DF0064,Drinking Fountain
Fort Greene Park,B,B032-DF0002,Drinking Fountain
Midland Field,R,R038A-DF0057,Drinking Fountain
Playground Eighty Nine LXXXIX,M,M264-DF0336,Drinking Fountain
Rufus King Park,Q,Q023-DF0458,Drinking Fountain
Central Park,M,M010-DF0620,Drinking Fountain
Terrace Playground,R,R069-DF0111,Drinking Fountain
Central Park,M,M010-DF0623,Drinking Fountain
Prospect Park,B,B073-DF0378,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0271,Drinking Fountain
Brookville Park,Q,Q008-DF0763,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0283,Drinking Fountain
Sara D. Roosevelt Park,M,M105-DF0007,Drinking Fountain
Canarsie Park,B,B018-DF0814,Drinking Fountain
Forest Park,Q,Q015-DF0016,Drinking Fountain
Devoe Park,X,X013-DF0517,Drinking Fountain
Lafayette Gardens Playground,B,B317-DF0083,Drinking Fountain
Detective Keith L Williams Park,Q,Q121-DF0867,Drinking Fountain
Gravesend Park,B,B042-DF0681,Drinking Fountain
Bensonhurst Park,B,B007-DF0766,Drinking Fountain
Carter G. Woodson Children's Park,B,B397-DF0100,Drinking Fountain
The Battery,M,M005-DF0281,Drinking Fountain
Thomas Jefferson Park,M,M047-DF0917,Drinking Fountain
Riverside Park South,M,M353-DF0046,Drinking Fountain
Poppenhusen Playground,Q,Q011-DF0651,Drinking Fountain
Central Park,M,M010-DF0940,Drinking Fountain
Evelina Antonetty Playground,X,X106-DF0602,Drinking Fountain
Brownsville Playground,B,B270-DF0124,Drinking Fountain
Gonzalo Plasencia Playground,B,B210I-DF0529,Drinking Fountain
Linden Park,B,B214-DF0168,Drinking Fountain
Bush Terminal Park,B,BT15-DF0744,Drinking Fountain
Central Park,M,M010-DF0074,Drinking Fountain
Washington Park,B,B111-DF0252,Drinking Fountain
Frederick B. Judge Playground,Q,Q119-DF0537,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0571,Drinking Fountain
Park Of The Americas,Q,Q026-DF0144,Drinking Fountain
De Witt Clinton Park,M,M022-DF0951,Drinking Fountain
Mill Pond Park,X,X344-DF0443,Drinking Fountain
Hoffman Park,Q,Q360N-DF0597,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0936,Drinking Fountain
Randall's Island Park,M,M104-DF0929,Drinking Fountain
Sternberg Park,B,B055-DF0771,Drinking Fountain
Playground One Twenty Five CXXV,M,M205-DF0460,Drinking Fountain
Forest Park,Q,Q015-DF0013,Drinking Fountain
St. John's Park,B,B245-DF1086,Drinking Fountain
Howard Playground,B,B260-DF0173,Drinking Fountain
Sara D. Roosevelt Park,M,M105-DF0997,Drinking Fountain
Kelly Park Playground,B,B051-DF0870,Drinking Fountain
Bloomingdale Park,R,R106-DF0141,Drinking Fountain
Brooklyn Botanic Garden,B,B010-DF0985,Drinking Fountain
Bushwick Playground,B,B310-DF1138,Drinking Fountain
Nathan Weidenbaum Playground,Q,Q205B-DF0119,Drinking Fountain
Ethan Allen Playground,B,B345-DF0159,Drinking Fountain
Central Park,M,M010-DF0586,Drinking Fountain
Galileo Playground,X,X265-DF0375,Drinking Fountain
Columbus Park,M,M015-DF0443,Drinking Fountain
Canarsie Park,B,B018-DF1121,Drinking Fountain
Tecumseh Playground,M,M219-DF0323,Drinking Fountain
Bella Abzug Park,M,M399-DF0340,Drinking Fountain
Astoria Health Playground,Q,Q123-DF0869,Drinking Fountain
Prospect Park,B,B073-DF0936,Drinking Fountain
Al Quiñones Playground,X,X179-DF0343,Drinking Fountain
Willowbrook Park,R,R030-DF0018,Drinking Fountain
Daniel M. O'Connell Playground,Q,Q106-DF0468,Drinking Fountain
Farm Playground,Q,Q221-DF0365,Drinking Fountain
Wards Island Park,M,M107-DF0151,Drinking Fountain
Bill Rainey Park,X,X255-DF0204,Drinking Fountain
Lawrence Virgilio Playground,Q,Q031-DF0077,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0043,Drinking Fountain
John J Carty Park,B,B210W-DF0961,Drinking Fountain
John J Carty Park,B,B210W-DF0706,Drinking Fountain
William Sheridan Playground,B,B124-DF0410,Drinking Fountain
St. Vartan Park,M,M076-DF0014,Drinking Fountain
Benjamin Gladstone Square,X,X022-DF0337,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0034,Drinking Fountain
Playground Eighty LXXX,Q,Q318-DF0499,Drinking Fountain
Rock Garden Park,X,X273-DF0314,Drinking Fountain
Dr. Green Playground,B,B228-DF0096,Drinking Fountain
Lyons Pool,R,R043-DF0210,Drinking Fountain
Rockaway Beach and Boardwalk,Q,Q162-DF1015,Drinking Fountain
Flushing Meadows Corona Park,Q,Q084A-DF0312,Drinking Fountain
Carver Playground,B,B347-DF0129,Drinking Fountain
St. John's Park,B,B245-DF0471,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0257,Drinking Fountain
Sheltering Arms Playground,M,M190-DF1070,Drinking Fountain
Van Cortlandt Park,X,X092-DF0222,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0420,Drinking Fountain
Mabel Hampton Playground,X,X292-DF0044,Drinking Fountain
Van Cortlandt Park,X,X092-DF0232,Drinking Fountain
Greene Playground,B,B301-DF0714,Drinking Fountain
Half-Nelson Playground,X,X295-DF0373,Drinking Fountain
Queensbridge Park,Q,Q104-DF0036,Drinking Fountain
Central Park,M,M010-DF0644,Drinking Fountain
Rochdale Park,Q,Q413-DF0148,Drinking Fountain
Spirit Playground,Q,Q429-DF0038,Drinking Fountain
Glen Oaks Oval,Q,Q310-DF0695,Drinking Fountain
Forest Park,Q,Q015-DF0023,Drinking Fountain
Randall's Island Park,M,M104-DF0147,Drinking Fountain
Kaiser Park,B,B129-DF0359,Drinking Fountain
Cherry Tree Park,M,M215-DF0520,Drinking Fountain
Rory Staunton Field,Q,Q502-DF1033,Drinking Fountain
Bildersee Playground,B,B335-DF0392,Drinking Fountain
Riverside Park,M,M071-DF0084,Drinking Fountain
Prospect Park,B,B073-DF1124,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0389,Drinking Fountain
Aqueduct Walk,X,X001A-DF0365,Drinking Fountain
Floyd Patterson Ballfields,B,B377-DF0106,Drinking Fountain
Recreational Area,M,M140-DF0040,Drinking Fountain
Flushing Fields,Q,Q086-DF0082,Drinking Fountain
Wolfe's Pond Park,R,R031-DF0145,Drinking Fountain
Marcy Playground,B,B217-DF0086,Drinking Fountain
Jackson Square,M,M044-DF687,Drinking Fountain
Tompkins Square Park,M,M088-DF0311,Drinking Fountain
Randall's Island Park,M,M104-DF0162,Drinking Fountain
Ehrenreich-Austin Playground,Q,Q304-DF0524,Drinking Fountain
Milestone Park,B,B063-DF0768,Drinking Fountain
St. Mary's Park,X,X045-DF0537,Drinking Fountain
Shore Park and Parkway,B,B082-DF0987,Drinking Fountain
Estella Diggs Park,X,X243-DF0293,Drinking Fountain
Colonel David Marcus Playground,B,B128-DF0503,Drinking Fountain
Central Park,M,M010-DF0568,Drinking Fountain
Fountain Of Youth Playground,X,X233-DF0268,Drinking Fountain
Henry M. Jackson Playground,M,M228-DF0387,Drinking Fountain
Brookfield Park,R,R172-DF0236,Drinking Fountain
Constance Baker Motley Recreation Center,M,M130-DF1000,Drinking Fountain
Kolbert Playground,B,B150-DF0990,Drinking Fountain
Bayview Playground,B,B274-DF0658,Drinking Fountain
Baisley Pond Park,Q,Q005-DF0775,Drinking Fountain
Bayside Fields,Q,Q387A-DF0627,Drinking Fountain
Riverside Park,M,M071-DF0042,Drinking Fountain
Morris Mesa,X,X148D1-DF0370,Drinking Fountain
John V. Lindsay East River Park,M,M144-DF0361,Drinking Fountain
Fort Totten Park,Q,Q458-DF0667,Drinking Fountain
Flushing Meadows Corona Park,Q,Q084A-DF0327,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0822,Drinking Fountain
Hines Park,X,X026-DF0295,Drinking Fountain
Gravesend Park,B,B042-DF0869,Drinking Fountain
Marine Park,B,B057-DF0836,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0222,Drinking Fountain
Simeone Park,Q,Q474-DF0889,Drinking Fountain
Highbridge Park,M,M037-DF0911,Drinking Fountain
Fisher Pool,Q,Q441-DF0961,Drinking Fountain
Electric Playground,Q,Q342-DF0375,Drinking Fountain
Shore Park and Parkway,B,B082-DF0776,Drinking Fountain
Crotona Park,X,X010-DF0551,Drinking Fountain
Prospect Park,B,B073-DF0288,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0242,Drinking Fountain
Bronx Park,X,X002-DF0508,Drinking Fountain
Prospect Park,B,B073-DF1038,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0050,Drinking Fountain
Bleecker Playground,M,M251-DF0114,Drinking Fountain
St. John's Park,B,B245-DF0476,Drinking Fountain
Frank Principe Park,Q,Q131-DF0906,Drinking Fountain
Central Park,M,M010-DF0656,Drinking Fountain
Carl Schurz Park,M,M081-DF0976,Drinking Fountain
De Witt Clinton Park,M,M022-DF0238,Drinking Fountain
McCarren Park,B,B058-DF0405,Drinking Fountain
Prospect Park,B,B073-DF1143,Drinking Fountain
Bailey Playground,X,X150J-DF0409,Drinking Fountain
Bayswater Park,Q,Q007-DF0895,Drinking Fountain
Pelham Bay Park,X,X039-DF0011,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0602,Drinking Fountain
Hero Park,R,R011-DF0108,Drinking Fountain
Hillside Playground,Q,Q352-DF0076,Drinking Fountain
Hamilton Metz Field,B,B193-DF0885,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0423,Drinking Fountain
Hamilton Fish Park,M,M033-DF1074,Drinking Fountain
Police Officer John G. Scarangella Park,B,B106A-DF0416,Drinking Fountain
Wingate Park,B,B254-DF0295,Drinking Fountain
Gorman Playground,Q,Q085-DF0152,Drinking Fountain
Fulton Park,B,B038-DF0868,Drinking Fountain
Forest Park,Q,Q015-DF0796,Drinking Fountain
Markham Playground,R,R076-DF0162,Drinking Fountain
Cooper Park,B,B025-DF0396,Drinking Fountain
Riverside Park,M,M071-DF0896,Drinking Fountain
City Hall Park,M,M013-DF0343,Drinking Fountain
Cleopatra Playground,X,X258-DF0368,Drinking Fountain
GREENSTREET,M,MZ458-DF0918,Drinking Fountain
Kissena Corridor Park,Q,Q300-DF0095,Drinking Fountain
Parkside Playground,X,X162-DF0240,Drinking Fountain
Astoria Park,Q,Q004-DF0997,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0950,Drinking Fountain
Rainbow Playground,B,B265-DF0522,Drinking Fountain
Freedom Square Playground,Q,Q370-DF0237,Drinking Fountain
Idlewild Park,Q,Q392-DF0783,Drinking Fountain
Pelham Bay Park,X,X039-DF0106,Drinking Fountain
Dawson Playground,X,X164-DF0202,Drinking Fountain
Clement Clarke Moore Park,M,M257-DF0206,Drinking Fountain
Ferry Point Park,X,X126-DF0197,Drinking Fountain
Tompkins Square Park,M,M088-DF0309,Drinking Fountain
Baisley Pond Park,Q,Q005-DF0332,Drinking Fountain
Alley Athletic Playground,Q,Q001A-DF0710,Drinking Fountain
Herbert Von King Park,B,B088-DF0090,Drinking Fountain
Rodney Playground Center,B,B223PD-DF0892,Drinking Fountain
Dongan Playground,R,R087-DF0095,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF1008,Drinking Fountain
Riverbend Playground,X,X175-DF0170,Drinking Fountain
Evergreen Park,Q,Q302-DF0816,Drinking Fountain
Cadman Plaza Park,B,B113A-DF1015,Drinking Fountain
Pulaski Park,X,X041-DF0308,Drinking Fountain
Forest Park,Q,Q015-DF0913,Drinking Fountain
Harold Schneiderman Playground,Q,Q408-DF0543,Drinking Fountain
Wagner Houses Pool,M,M273-DF0412,Drinking Fountain
Ditmars Playground,Q,Q385-DF0050,Drinking Fountain
Prospect Park,B,B073-DF0937,Drinking Fountain
CPL. Thompson Park,R,R109-DF0250,Drinking Fountain
Brookville Park,Q,Q008-DF0842,Drinking Fountain
Nostrand Playground,B,B250-DF0632,Drinking Fountain
Junction Playground,Q,Q122-DF0599,Drinking Fountain
Fish Playground,B,B325-DF0154,Drinking Fountain
Prospect Park,B,B073-DF0847,Drinking Fountain
Pierrepont Playground,B,B222-DF0202,Drinking Fountain
Abingdon Square,M,M001-DF0112,Drinking Fountain
Conference House Park,R,R006-DF0198,Drinking Fountain
Grove Hill Playground,X,X235-DF0297,Drinking Fountain
Maria Hernandez Park,B,B016-DF0013,Drinking Fountain
Hoyt Playground,Q,Q066F-DF0068,Drinking Fountain
L/CPL Thomas P. Noonan Jr. Playground,Q,Q044-DF0085,Drinking Fountain
Crotona Park,X,X010-DF0504,Drinking Fountain
Randall's Island Park,M,M104-DF1099,Drinking Fountain
Cunningham Park,Q,Q021-DF0940,Drinking Fountain
Inwood Hill Park,M,M042-DF0130,Drinking Fountain
Patterson Playground,X,X155-DF0306,Drinking Fountain
Highbridge Park,M,M037-DF0924,Drinking Fountain
Baisley Pond Park,Q,Q005-DF0840,Drinking Fountain
St. Michael's Playground,Q,Q174A-DF0057,Drinking Fountain
Breininger Park,Q,Q134-DF0681,Drinking Fountain
Veterans Grove,Q,Q013-DF0730,Drinking Fountain
Maurice A FitzGerald Playground,Q,Q337-DF0755,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0086,Drinking Fountain
Poe Park,X,X040-DF0531,Drinking Fountain
Dyker Beach Park,B,B028-DF0863,Drinking Fountain
Cunningham Park,Q,Q021-DF0501,Drinking Fountain
Van Cortlandt Park,X,X092-DF0237,Drinking Fountain
James A. Bland Playground,Q,Q326-DF0689,Drinking Fountain
Van Cortlandt Park,X,X092-DF0480,Drinking Fountain
Sternberg Park,B,B055-DF0412,Drinking Fountain
Henry Hudson Park,X,X080-DF0111,Drinking Fountain
Hansborough Recreation Center,M,M131-DF1005,Drinking Fountain
Brooklyn Bridge Park,B,B431-DF0951,Drinking Fountain
Rockaway Beach and Boardwalk,Q,Q162-DF0414,Drinking Fountain
Cunningham Park,Q,Q021-DF0442,Drinking Fountain
Jackie Robinson Park,M,M014-DF0474,Drinking Fountain
Alley Pond Park,Q,Q001-DF0995,Drinking Fountain
Seton Park,X,X201-DF0114,Drinking Fountain
Randall's Island Park,M,M104-DF0164,Drinking Fountain
De Witt Clinton Park,M,M022-DF0241,Drinking Fountain
Haffen Park,X,X196-DF0564,Drinking Fountain
Bennett Park,M,M009-DF0246,Drinking Fountain
Central Park,M,M010-DF1114,Drinking Fountain
Isham Park,M,M043-DF0184,Drinking Fountain
Prospect Park,B,B073-DF0912,Drinking Fountain
Battery Park City,M,M283-DF0176,Drinking Fountain
Riverside Park,M,M071-DF0020,Drinking Fountain
Rappaport Playground,B,B152-DF0759,Drinking Fountain
St. Nicholas Playground South,M,M211A-DF0551,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0204,Drinking Fountain
Jackie Robinson Park,M,M014-DF0947,Drinking Fountain
Shore Park and Parkway,B,B082-DF0778,Drinking Fountain
Central Park,M,M010-DF0678,Drinking Fountain
Central Park,M,M010-DF0582,Drinking Fountain
Walter Gladwin Park,X,X010A-DF0214,Drinking Fountain
Prospect Park,B,B073-DF0848,Drinking Fountain
Quaker Parrot Park at the Dust Bowl,B,B146-DF0792,Drinking Fountain
Space Time Playground,X,X221-DF0145,Drinking Fountain
Beach 9 Playground,Q,Q162J01-DF0349,Drinking Fountain
Robert Moses Playground,M,M158-DF0069,Drinking Fountain
Washington Skate Park,B,B111A-DF0572,Drinking Fountain
Alice Austen Park,R,R117-DF0225,Drinking Fountain
Forest Park,Q,Q015-DF0001,Drinking Fountain
Flynn Playground,X,X146-DF0302,Drinking Fountain
Soundview Park,X,X118-DF0149,Drinking Fountain
Linden Park,B,B214-DF0032,Drinking Fountain
Central Park,M,M010-DF0886,Drinking Fountain
Ditmars Playground,Q,Q385-DF0049,Drinking Fountain
Msgr. McGolrick Park,B,B114-DF0962,Drinking Fountain
Bushwick Playground,B,B017-DF0047,Drinking Fountain
Reiff Playground,Q,Q423-DF0181,Drinking Fountain
Roberto Clemente Ballfield,B,B382A-DF0770,Drinking Fountain
Juniper Valley Park,Q,Q102-DF0400,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0054,Drinking Fountain
Clove Lakes Park,R,R005-DF0189,Drinking Fountain
Wingate Park,B,B254-DF1089,Drinking Fountain
Springfield Park,Q,Q107-DF0670,Drinking Fountain
Commodore Barry Park,B,B021-DF0227,Drinking Fountain
Riverside Park South,M,M353-DF0078,Drinking Fountain
Kaltenmeier Playground,R,R042-DF0008,Drinking Fountain
Samuel Seabury Playground,M,M236-DF0251,Drinking Fountain
Horace Harding Playground,Q,Q428-DF0569,Drinking Fountain
Frank D. O'Connor Playground,Q,Q098-DF0577,Drinking Fountain
"Phil ""Scooter"" Rizzuto Park",Q,Q129-DF0578,Drinking Fountain
Bushwick Inlet Park,B,B529-DF1110,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0030,Drinking Fountain
Millbrook Playground,X,X182-DF0493,Drinking Fountain
Bloomingdale Park,R,R106-DF0134,Drinking Fountain
Millbrook Playground,X,X182-DF0502,Drinking Fountain
Bay Terrace Playground,Q,Q399-DF0053,Drinking Fountain
Noble Playground,X,X123-DF0128,Drinking Fountain
Fort Tryon Park,M,M029-DF0232,Drinking Fountain
Moore Playground,M,M204-DF0423,Drinking Fountain
Faber Pool and Park,R,R008-DF0202,Drinking Fountain
Riverside Park,M,M071-DF0125,Drinking Fountain
St. Michael's Playground,Q,Q174A-DF0059,Drinking Fountain
Flushing Meadows Corona Park,Q,Q084A-DF0325,Drinking Fountain
Van Cortlandt Park,X,X092-DF0228,Drinking Fountain
St. Nicholas Park,M,M077-DF0483,Drinking Fountain
Underwood Park,B,B259-DF0710,Drinking Fountain
Ewen Park,X,X019-DF0478,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0267,Drinking Fountain
Robert E. Venable Park,B,B380-DF0197,Drinking Fountain
Collect Pond Park,M,M242-DF0446,Drinking Fountain
Prospect Park,B,B073-DF1048,Drinking Fountain
Arverne Playground,Q,Q313-DF0818,Drinking Fountain
Gouverneur Playground,X,X222-DF0288,Drinking Fountain
Harvey Park,Q,Q089B-DF0654,Drinking Fountain
Silver Lake Park,R,R022-DF0151,Drinking Fountain
John Allen Payne Playground,B,B210A-DF0993,Drinking Fountain
Laurelton Playground,Q,Q108-DF0691,Drinking Fountain
Coney Island Beach & Boardwalk,B,B169-DF0563,Drinking Fountain
Randall's Island Park,M,M104-DF0161,Drinking Fountain
Franklin D. Roosevelt Boardwalk and Beach,R,R046-DF0047,Drinking Fountain
Latimer Playground,Q,Q402-DF0302,Drinking Fountain
Jackie Robinson Park Playground,B,B294-DF0135,Drinking Fountain
Travers Park,Q,Q303-DF0583,Drinking Fountain
Flynn Playground,X,X146-DF0303,Drinking Fountain
Battery Park City,M,M283-DF0190,Drinking Fountain
Alley Pond Park,Q,Q001-DF0704,Drinking Fountain
St. Mary's Park,X,X045-DF0538,Drinking Fountain
Central Park,M,M010-DF0574,Drinking Fountain
Washington Square Park,M,M098-DF0096,Drinking Fountain
Tony Dapolito Recreation Center,M,M103-DF0987,Drinking Fountain
Dome Playground,B,B151-DF0508,Drinking Fountain
Sherman Creek,M,MZ467-DF0879,Drinking Fountain
Central Park,M,M010-DF0668,Drinking Fountain
Bergen Beach Playground,B,B353-DF1001,Drinking Fountain
St. Mary's Park,X,X045-DF0177,Drinking Fountain
Riverdale Playground,X,X186-DF0110,Drinking Fountain
Davidson Playground,X,X300-DF0048,Drinking Fountain
Parade Ground,B,B068-DF0340,Drinking Fountain
Van Dyke Playground,B,B249-DF0104,Drinking Fountain
Gertrude Ederle Recreation Center,M,M063-DF0966,Drinking Fountain
Thomas Jefferson Park,M,M047-DF0407,Drinking Fountain
Marine Park,B,B057-DF0840,Drinking Fountain
Patrick O'Rourke Playground,B,B282-DF0758,Drinking Fountain
Highland Park,Q,B047-DF0371,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0226,Drinking Fountain
Red Hook Recreation Area,B,B126-DF0058,Drinking Fountain
Epiphany Playground,B,B405-DF0388,Drinking Fountain
Prospect Park,B,B073-DF1043,Drinking Fountain
Fountain Of Youth Playground,X,X233-DF0267,Drinking Fountain
Rockaway Beach and Boardwalk,Q,Q162-DF0415,Drinking Fountain
Railroad Park,X,X032-DF0290,Drinking Fountain
Central Park,M,M010-DF1043,Drinking Fountain
Louis Pasteur Park,Q,Q369-DF0611,Drinking Fountain
Bath Playground,B,B349-DF0075,Drinking Fountain
Paerdegat Park,B,B218-DF0199,Drinking Fountain
Rockaway Garage,Q,Q455-DF1013,Drinking Fountain
Cherry Tree Park,M,M215-DF0521,Drinking Fountain
Wagner Houses Pool,M,M273-DF1026,Drinking Fountain
Rev. T. Wendell Foster Park and Recreation Center,X,X034-DF0577,Drinking Fountain
Mahoney Playground,R,R025-DF0102,Drinking Fountain
Beanstalk Playground,X,X283-DF0377,Drinking Fountain
Harding Park,X,X262-DF0143,Drinking Fountain
Redfern Playground,Q,Q345-DF0339,Drinking Fountain
Conference House Park,R,R006-DF0239,Drinking Fountain
Sherman Creek,M,MZ470-DF0882,Drinking Fountain
Central Park,M,M010-DF1050,Drinking Fountain
Sherry Dog Run,Q,Q341C-DF0389,Drinking Fountain
Grace Playground,B,B078-DF0071,Drinking Fountain
Heckscher Playground,B,B139-DF0060,Drinking Fountain
Fort Greene Park,B,B032-DF1104,Drinking Fountain
Rock Garden Park,X,X273-DF0313,Drinking Fountain
Riverside Park,M,M071-DF0054,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF1021,Drinking Fountain
St. Mary's Park,X,X045-DF0580,Drinking Fountain
Frederick Douglass Playground,M,M220-DF0466,Drinking Fountain
Alexander Hamilton Playground,M,M041-DF0495,Drinking Fountain
Sara D. Roosevelt Park,M,M105-DF0991,Drinking Fountain
Pelham Bay Park,X,X039-DF0015,Drinking Fountain
Canarsie Park,B,B018-DF0808,Drinking Fountain
P.O. Reinaldo Salgado Playground,B,B224-DF0119,Drinking Fountain
Glen Oaks Oval,Q,Q310-DF0693,Drinking Fountain
Sledge Playground,B,B097-DF0806,Drinking Fountain
Freshkills Park,R,R017-DF0131,Drinking Fountain
Cedar Playground,X,X111-DF0382,Drinking Fountain
Baisley Pond Park,Q,Q005-DF0324,Drinking Fountain
St. John's Park,B,B245-DF0480,Drinking Fountain
Brooklyn Botanic Garden,B,B010-DF0637,Drinking Fountain
Central Park,M,M010-DF0664,Drinking Fountain
Kissena Corridor Park,Q,Q300-DF0632,Drinking Fountain
McCaffrey Playground,M,M161-DF0142,Drinking Fountain
Marcus Garvey Park,M,M058-DF0964,Drinking Fountain
Baisley Pond Park,Q,Q005-DF0841,Drinking Fountain
Kaiser Park,B,B129-DF0357,Drinking Fountain
Beach 30th Street Playground,Q,Q162H-DF0824,Drinking Fountain
Dyker Beach Park,B,B028-DF0652,Drinking Fountain
Pink Playground,B,B309-DF0052,Drinking Fountain
Great Kills Veterans Playground,R,R071-DF0009,Drinking Fountain
Hope Ballfield,B,B429-DF1145,Drinking Fountain
Ehrenreich-Austin Playground,Q,Q304-DF0525,Drinking Fountain
Whitey Ford Field,Q,Q215-DF0111,Drinking Fountain
Lion's Pride Playground,B,B107-DF0036,Drinking Fountain
Manhattan Beach Park,B,B251-DF0919,Drinking Fountain
Julio Carballo Fields,X,X260-DF0569,Drinking Fountain
Fred Samuel Playground,M,M160-DF0541,Drinking Fountain
Pelham Bay Park,X,X039-DF0009,Drinking Fountain
Ravenswood Playground,Q,Q333-DF0066,Drinking Fountain
Rockaway Beach Boardwalk,Q,Q163-DF0427,Drinking Fountain
Grassmere Playground,Q,Q353-DF0203,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0942,Drinking Fountain
Constance Baker Motley Recreation Center,M,M130-DF1001,Drinking Fountain
Jackie Robinson Park,M,M014-DF0913,Drinking Fountain
Behagen Playground,X,X166-DF0282,Drinking Fountain
Seth Low Playground/ Bealin Square,B,B100-DF0646,Drinking Fountain
Luther Gulick Park,M,M065-DF0385,Drinking Fountain
Riverside Park,M,M071-DF0972,Drinking Fountain
Prospect Park,B,B073-DF0382,Drinking Fountain
Brownsville Playground,B,B270-DF1094,Drinking Fountain
Thomas Greene Playground,B,B145-DF0250,Drinking Fountain
McKinley Playground,M,M259-DF0317,Drinking Fountain
Rockaway Beach,Q,Q164-DF1014,Drinking Fountain
Kosciuszko Pool,B,B351-DF1115,Drinking Fountain
St. Nicholas Playground South,M,M211A-DF0552,Drinking Fountain
Lindower Park,B,B329-DF0650,Drinking Fountain
DiGilio Playground,B,B316-DF0958,Drinking Fountain
Frederick Johnson Playground,M,M159-DF0530,Drinking Fountain
High Rock Park,R,R088-DF0221,Drinking Fountain
Van Cortlandt Park,X,X092-DF0499,Drinking Fountain
Cadman Plaza Park,B,B113A-DF1127,Drinking Fountain
Lawrence Virgilio Playground,Q,Q031-DF0079,Drinking Fountain
McGuire Fields,B,B166D-DF0831,Drinking Fountain
Herman Dolgon Playground,B,B235-DF0690,Drinking Fountain
Forest Park,Q,Q015-DF1017,Drinking Fountain
Lincoln Terrace / Arthur S. Somers Park,B,B054-DF0485,Drinking Fountain
Flushing Meadows Corona Park,Q,Q099-DF0928,Drinking Fountain
Dry Dock Playground,M,M270-DF0008,Drinking Fountain
Remsen Playground,B,B360-DF0273,Drinking Fountain
Howard Von Dohlen Playground,Q,Q105-DF0455,Drinking Fountain
Equity Playground,Q,Q053-DF0629,Drinking Fountain
McCarren Park,B,B058-DF1030,Drinking Fountain
