PropName,Borough,System,Type of Water Feature
Jesse Owens Playground,B,B269-SPRAY0146,Spray Shower
Central Park,M,M010-031-SPRAY0212,Spray Shower
St. Vartan Park,M,M076-SPRAY0272,Spray Shower
Laurelton Playground,Q,Q108-SPRAY0414,Spray Shower
Cypress Hills Playground,B,B103-SPRAY052,Spray Shower
Harlem Lane Playground,M,M141-SPRAY0297,Spray Shower
Elton Playground,B,B149A-SPRAY071,Spray Shower
Highbridge Park,M,M037-10-SPRAY0245,Spray Shower
Marine Park,B,B057-05-SPRAY027,Spray Shower
Green Central Knoll,B,B395-SPRAY0207,Spray Shower
Queens Valley Playground,Q,Q212-SPRAY0434,Spray Shower
Evergreen Park,Q,Q302-SPRAY0449,Spray Shower
Pratt Playground,B,B292-SPRAY0157,Spray Shower
Rock Garden Park,X,X273-SPRAY0685,Spray Shower
El Shabazz Playground,B,B313-SPRAY0172,Spray Shower
Hillside Playground,Q,Q352-SPRAY0483,Spray Shower
Hunter's Point South Park,Q,Q471-01-SPRAY0718,Spray Shower
Kennedy Playground,Q,Q103-SPRAY0409,Spray Shower
Fred Samuel Playground,M,M160-SPRAY0302,Spray Shower
Alley Pond Park,Q,Q001-01-SPRAY0353,Spray Shower
Great Kills Veterans Playground,R,R071-SPRAY0557,Spray Shower
Woods Playground,B,B364-SPRAY0204,Spray Shower
Crotona Park,X,X010-10-SPRAY0577,Spray Shower
Downing Street Playground,M,M027-SPRAY0237,Spray Shower
Utopia Playground,Q,Q294-SPRAY0443,Spray Shower
John Allen Payne Playground,B,B210A-SPRAY098,Spray Shower
Central Park,M,M010-187-SPRAY0222,Spray Shower
P.O. Reinaldo Salgado Playground,B,B224-SPRAY0113,Spray Shower
Judge Moses Weinstein Playground,Q,Q336-SPRAY0470,Spray Shower
Augustus St. Gaudens Playground,M,M226-SPRAY0329,Spray Shower
Walter Ward Playground,Q,Q421-SPRAY0524,Spray Shower
Berry Playground,B,B154-SPRAY077,Spray Shower
Sol Lain Plgd,M,M235-SPRAY0334,Spray Shower
Farm Playground,Q,Q221-SPRAY0438,Spray Shower
Mahoney Playground,R,R025-SPRAY0541,Spray Shower
Sumner Playground,B,B263-SPRAY0141,Spray Shower
Forest Park,Q,Q015-05-SPRAY0369,Spray Shower
Mott Playground,X,X115-SPRAY0616,Spray Shower
Vesuvio Playground,M,M069-SPRAY0263,Spray Shower
Bill Brown Playground,B,B109-SPRAY056,Spray Shower
Seaside Wildlife Nature Park,R,R145-01-SPRAY0713,Spray Shower
Colucci Playground,X,X122-SPRAY0621,Spray Shower
Colgate Close,X,X195A-SPRAY0663,Spray Shower
South Oxford Park,B,B407-SPRAY0701,Spray Shower
Carl Schurz Park,M,M081-02-SPRAY0276,Spray Shower
Junction Playground,Q,Q122-SPRAY0419,Spray Shower
St. John's Park,B,B245-02-SPRAY0125,Spray Shower
Forest Park,Q,Q015-03-SPRAY0368,Spray Shower
Underhill Playground,B,B161-SPRAY082,Spray Shower
Jerome Playground,B,B246-SPRAY0126,Spray Shower
Pelham Bay Park,X,X039-01-SPRAY0591,Spray Shower
Lawrence Virgilio Playground,Q,Q031-SPRAY0382,Spray Shower
Washington Hall Park,B,B220-SPRAY0109,Spray Shower
Central Park,M,M010-207-SPRAY0227,Spray Shower
Harvey Park,Q,Q089B-01-SPRAY0396,Spray Shower
American Playground,B,B001-SPRAY01,Spray Shower
Inwood Hill Park,M,M042-02-SPRAY0249,Spray Shower
Castlewood Playground,Q,Q327-SPRAY0463,Spray Shower
ABC Playground,M,M116-SPRAY0293,Spray Shower
Sixteen Sycamores Playground,B,B137-SPRAY067,Spray Shower
De Hostos Playground,B,B358-SPRAY0199,Spray Shower
Playground 103 CIII,M,M108G-SPRAY690,Spray Shower
St. Catherine's Park,M,M079-SPRAY0275,Spray Shower
Central Park,M,M010-143-SPRAY0217,Spray Shower
Detective Keith L Williams Park,Q,Q121-02-SPRAY0418,Spray Shower
Canarsie Park,B,B018-01-SPRAY0702,Spray Shower
Columbus Park,M,M015-SPRAY0232,Spray Shower
Lion's Pride Playground,B,B107-SPRAY055,Spray Shower
Baisley Pond Park,Q,Q005-01-SPRAY0357,Spray Shower
Dimattina Playground,B,B223B-SPRAY0110,Spray Shower
Playground Twenty One,Q,Q334-SPRAY0468,Spray Shower
Flushing Meadows Corona Park,Q,Q099-ZN13-SPRAY0782,Spray Shower
Williamsbridge Oval,X,X104-SPRAY0606,Spray Shower
Morningside Park,M,M056-01-SPRAY0254,Spray Shower
Grassmere Playground,Q,Q353-SPRAY0733,Spray Shower
Pelham Bay Park,X,X039-02-SPRAY0592,Spray Shower
Freedom Square Playground,Q,Q370-SPRAY0500,Spray Shower
Powell Playground,B,B156-SPRAY078,Spray Shower
Bath Playground,B,B349-SPRAY0194,Spray Shower
Baisley Pond Park,Q,Q005-04-SPRAY0358,Spray Shower
Epiphany Playground,B,B405-SPRAY0211,Spray Shower
McKinley Playground,M,M259-SPRAY0780,Spray Shower
Detective William T. Gunn Playground,Q,Q358-SPRAY0488,Spray Shower
Elizabeth Stroud Playground,B,B200-SPRAY094,Spray Shower
Parkside Playground,X,X162-SPRAY0643,Spray Shower
Wald Playground,M,M201-SPRAY0315,Spray Shower
Gouverneur Playground,X,X222-SPRAY0675,Spray Shower
Sara D. Roosevelt Park,M,M105-SPRAY0286,Spray Shower
Highbridge Park,M,M037-09-SPRAY0244,Spray Shower
Happy Warrior Playground,M,M229-SPRAY0330,Spray Shower
Marine Park,B,B057-04-SPRAY026,Spray Shower
Prospect Park,B,B073-07-SPRAY035,Spray Shower
