System,DF Activated,FountainType,FountainCount,Painted,Filter Installed,Position,Outdoor,GISPropNum,PropertyName,OMPPropID,SubPropertyName,ParkDistrict,Borough,AMPSID,AMPSClass,AMPSStatus,AMPSParentID,AMPSName,CommunityBoard,CouncilDistrict,Precinct,ZIPCode,x,y
M277-DF0139,Activated,C,1,false,false,"Under Tree, In Playground, Near Ballfield",true,M277,Hell's Kitchen Park,M277,,M-04,M,100039563,DRINKFTN,I,M277,C-Hell's Kitchen Park,104,3,18,10036,986271.5638583,217225.277541399
M277-DF0140,Activated,C,1,false,false,"Under Tree, In Playground, Near Ballfield",true,M277,Hell's Kitchen Park,M277,,M-04,M,100039586,DRINKFTN,I,M277,C-Hell's Kitchen Park,104,3,18,10036,986301.476528137,217278.270545646
M285-DF0506,Activated,E High Low,2,true,false,In Playground,true,M285,Dr. Ronald E. McNair Playground,M285,,M-11,M,100040109,DRINKFTN,I,M285,E High Low-Dr. Ronald E. McNair Playground,111,8,25,10035,1001417.32818613,231664.155487731
M286-DF0255,Activated,E High Low,2,false,false,Under Tree,true,M286,Asphalt Green,M286-01,DeKovats Playground,M-08,M,100039759,DRINKFTN,I,M286-01,E High Low-Asphalt Green-DeKovats Playground,108,5,19,10128,999662.810369715,223228.408251643
M288-DF0145,Activated,F High Low,2,true,false,In Playground,true,M288,Ramon Aponte Park,M288,,M-04,M,100039584,DRINKFTN,I,M288,F High Low-Ramon Aponte Park,104,3,18,10036,987165.672306299,216698.030564397
M294-DF0253,Activated,C,1,false,false,In Playground,true,M294,Ruppert Park,M294,,M-08,M,100039775,DRINKFTN,I,M294,C-Ruppert Park,108,5,19,10128,998061.503861054,223813.790939137
M294-DF0254,Activated,C,1,false,false,Out in Open,true,M294,Ruppert Park,M294,,M-08,M,100039752,DRINKFTN,I,M294,C-Ruppert Park,108,5,19,10128,998157.279916226,223762.970830813
M308-DF0349,Activated,Pedestal,1,true,false,"Under Tree, In Playground",true,M308,Washington Market Park,M308,,M-01,M,100039922,DRINKFTN,I,M308,Pedestal-Washington Market Park,101,1,1,10013,981158.140030056,200480.309719055
M308-DF0350,Broken,Pedestal,1,true,true,Just Outside Playground,true,M308,Washington Market Park,M308,,M-01,M,100039945,DRINKFTN,I,M308,Pedestal-Washington Market Park,101,1,1,10013,981068.365931391,200649.010497137
M308-DF0872,NotYetActivated,Other,1,,false,,true,M308,Washington Market Park,M308,,M-01,M,100043295,DRINKFTN,I,M308,Other-Washington Market Park,101,1,1,10013,980876.510343968,200581.890224561
